instances,z_1,z_2,algo_collision,feature_npc1_avg_control_speed,feature_npc1_min_control_speed,feature_npc1_max_control_speed,feature_npc1_std_control_speed,feature_npc2_avg_control_speed,feature_npc2_min_control_speed,feature_npc2_max_control_speed,feature_npc2_std_control_speed,feature_npcs_avg_control_speed,feature_npcs_min_control_speed,feature_npcs_max_control_speed,feature_npcs_std_control_speed,feature_npc_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_avg_speed,feature_ego_min_speed,feature_ego_max_speed,feature_ego_std_speed,feature_npc1_avg_speed,feature_npc1_min_speed,feature_npc1_max_speed,feature_npc1_std_speed,feature_npc2_avg_speed,feature_npc2_min_speed,feature_npc2_max_speed,feature_npc2_std_speed,feature_avg_dist_ego_npc1,feature_min_dist_ego_npc1,feature_max_dist_ego_npc1,feature_std_dist_ego_npc1,feature_avg_dist_ego_npc2,feature_min_dist_ego_npc2,feature_max_dist_ego_npc2,feature_std_dist_ego_npc2,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_std_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_min_npc_speed,feature_std_npcs_speed,feature_type_npc_max_speed,feature_type_npc_min_speed,feature_op_npc_max_speed,feature_op_npc_min_speed,feature_ctrl_speed_npc_max_speed,feature_ctrl_speed_npc_min_speed,feature_dist_av_npc_max_speed,feature_dist_av_npc_min_speed,feature_time_to_max_speed,feature_time_to_max_dist,feature_source
scenario0,1.363276079,0.293524998,0,20.95462674,8.492425043,29.93376545,7.227841165,14.99587517,1.827649471,27.25507764,7.90579978,17.97525095,1.827649471,29.93376545,7.566820472,7.5,7,7.270670852,0,11.68582945,4.454346166,9.071176367,0,29.71328116,5.95308439,9.050930112,0,27.21428523,7.906923759,12.64619017,2.764434068,34.79755977,6.4021574,27.55970537,3.753864269,57.7573243,15.08697706,20.10294777,57.7573243,2.764434068,10.74456723,2,1,2,1,15.28993925,19.15014078,15.96533662,27.21428523,9.061053239,29.71328116,0,6.930004075,1,2,1,0,29.93376545,25.50079051,11.61957525,11.75040225,16.4,15,1
scenario1,-0.615348813,0.199356657,0,17.5041048,0.431235821,26.94046993,7.61959426,10.40507468,0.449609771,24.27525277,8.662626106,13.95458974,0.431235821,26.94046993,8.141110183,7,7,7.345508187,0,11.64132367,4.208274413,7.639222057,0,22.58755681,5.465577256,7.718958774,0,24.26879746,8.069118878,23.62736322,9.491348868,62.30926477,14.98885609,14.62492138,3.586614246,31.28932119,8.198723341,19.1261423,62.30926477,3.586614246,11.59378971,1,2,1,2,22.58887807,5.756398883,2.03941522,7.033663574,7.679090416,24.26879746,0,6.767348067,2,2,2,0,4.204084557,1.3198344,18.63510172,11.75040225,6,21.1,1
scenario2,0.507743446,3.110542719,0,8.156089393,0.3570574,23.95066421,7.073057606,10.68501044,0.731410882,26.83371857,7.853093476,9.420549918,0.3570574,26.83371857,7.463075541,6.5,4,7.328664475,0,11.67756214,4.420135787,5.987163159,0,23.94053249,5.710178817,5.391588579,0,18.65904504,4.680474383,49.70192284,7.42883867,89.31584377,25.77071616,61.86040102,11.75040225,102.0054109,28.62029859,55.78116193,102.0054109,7.42883867,27.19550738,2,1,0,2,4.157159717,19.21275155,12.45063772,3.948425435,5.689375869,23.94053249,0,5.1953266,1,2,1,1,23.95066421,0.731410882,39.75827491,11.75040225,14.7,22.9,1
scenario3,1.533798674,-1.672974759,0,13.99413215,1.141403803,27.96844055,9.165877462,20.28824015,7.28314762,27.77106311,5.49821894,17.14118615,1.141403803,27.96844055,7.332048201,7,7,7.321608523,0,11.31444788,3.896145617,8.31460442,0,27.9670642,8.215373171,11.27827182,0,27.72182853,7.901936901,21.90715838,2.993467715,51.62806867,13.97898027,45.63655343,3.285929014,82.53325199,20.71085575,33.7718559,82.53325199,2.993467715,17.34491801,2,1,1,2,24.81888853,19.39714599,18.35221172,26.6852586,9.796438121,27.9670642,0,8.058655036,1,2,2,1,2.751518508,18.87671396,18.87398873,11.75040225,12,15,1
scenario4,-0.763011392,1.28490771,0,17.5041048,0.431235821,26.94046993,7.61959426,10.40507468,0.449609771,24.27525277,8.662626106,13.95458974,0.431235821,26.94046993,8.141110183,7,7,7.328035024,0,11.67121936,4.539645379,7.75092496,0,22.58383904,6.568773843,7.33203274,0,24.26879746,8.131837205,12.67601279,6.452732486,36.2030036,6.550509264,21.80319648,3.776019298,54.06336544,15.50865313,17.23960463,54.06336544,3.776019298,11.0295812,2,2,1,1,19.62189326,3.539066113,2.927868,2.229912276,7.54147885,24.26879746,0,7.350305524,2,2,2,0,4.204084557,1.3198344,13.59493576,11.75040225,6,24.1,1
scenario5,0.568433533,3.117176517,0,8.156089393,0.3570574,23.95066421,7.073057606,10.68501044,0.731410882,26.83371857,7.853093476,9.420549918,0.3570574,26.83371857,7.463075541,6.5,4,7.32673383,0,11.68244535,4.401564362,5.945542419,0,23.94474232,5.627490832,5.346310522,0,19.61311389,4.529106482,49.63196684,7.668312926,89.20518823,26.18094061,57.92168056,7.744552484,103.1952966,30.92600225,53.7768237,103.1952966,7.668312926,28.55347143,2,1,0,2,4.157159717,19.21275155,8.881342258,4.045555711,5.64592647,23.94474232,0,5.078298657,1,2,1,0,23.95066421,0.731410882,38.2831591,11.75040225,14.8,23.2,1
scenario6,0.562842948,0.301978849,0,13.99413215,1.141403803,27.96844055,9.165877462,20.28824015,7.28314762,27.77106311,5.49821894,17.14118615,1.141403803,27.96844055,7.332048201,7,7,7.309280152,0,11.70611316,4.275180376,8.319487054,0,27.96659554,8.220625296,10.81210123,0,27.68757193,7.975397092,27.44445145,3.312222948,59.77174317,17.7034985,43.40529858,3.81245898,81.02166612,17.19587703,35.42487502,81.02166612,3.312222948,17.44968776,2,1,1,2,24.81888853,19.39714599,10.3741697,15.4085996,9.565794143,27.96659554,0,8.098011194,1,2,2,0,2.751518508,18.87671396,26.62757524,11.75040225,12,15,1
scenario7,0.649201906,0.04074159,0,13.99413215,1.141403803,27.96844055,9.165877462,20.28824015,7.28314762,27.77106311,5.49821894,17.14118615,1.141403803,27.96844055,7.332048201,7,7,7.337417966,0,11.63465506,4.308800364,8.307548804,0,27.96654996,8.258207076,10.81210123,0,27.68757193,7.975397092,27.54907865,3.357896601,60.13359639,18.0282177,44.39554421,3.813341659,81.94804329,17.18925436,35.97231143,81.94804329,3.357896601,17.60873603,2,1,1,2,24.81888853,19.39714599,9.794352478,15.4085996,9.559825018,27.96654996,0,8.116802084,1,2,2,0,2.751518508,18.87671396,27.41898958,11.75040225,12,15,1
scenario8,0.56884478,0.361856353,0,13.99413215,1.141403803,27.96844055,9.165877462,20.28824015,7.28314762,27.77106311,5.49821894,17.14118615,1.141403803,27.96844055,7.332048201,7,7,7.327117843,0,11.67352456,4.377715293,8.297224236,0,27.96615143,8.365893955,10.81210123,0,27.68757193,7.975397092,26.10494076,3.295828413,57.06255302,17.08557825,48.18599762,3.849280256,86.94672962,17.99167054,37.14546919,86.94672962,3.295828413,17.5386244,2,1,1,2,24.81888853,19.39714599,13.27295395,15.4085996,9.554662734,27.96615143,0,8.170645523,1,2,2,0,2.751518508,18.87671396,25.61488386,11.75040225,12,15,1
scenario9,0.801627948,-0.040519572,1,13.99413215,1.141403803,27.96844055,9.165877462,20.28824015,7.28314762,27.77106311,5.49821894,17.14118615,1.141403803,27.96844055,7.332048201,7,7,7.290796345,0,11.69543312,4.366629646,8.057244807,0,27.96600784,8.487799559,10.85631153,0,27.68757193,8.020311388,26.70544516,2.828339787,59.04039928,18.11069048,46.01033441,3.79899146,84.13034409,17.47466457,36.35788979,84.13034409,2.828339787,17.79267753,2,1,1,1,24.81888853,18.55094921,3.762742202,15.4085996,9.456778168,27.96600784,0,8.254055473,1,2,2,0,2.751518508,18.87671396,26.85531445,11.75040225,12,15,1
